가가라,0,0,0,NNP,지명,F,가가라,*,*,*,*,*
가가라강,0,0,0,NNP,지명,T,가가라강,Preanalysis,NNP,NNP,가가라+강,가가라/NNP/지명/1/1+강/NNG/*/1/1
가가와,0,0,0,NNP,지명,F,가가와,*,*,*,*,*
가가와항,0,0,0,NNP,지명,T,가가와항,Preanalysis,NNP,NNP,가가와+항,가가와/NNP/인명/1/1+항/NNG/*/1/1
가가와현,0,0,0,NNP,지명,T,가가와현,Preanalysis,NNP,NNP,가가와+현,가가와/NNP/인명/1/1+현/NNG/*/1/1
가거도항,0,0,0,NNP,*,T,가거도항,Compound,*,*,가거도+항,가거도/NNP/지명/1/1+가거도항/Compound/*/0/2+항/NNG/*/1/1
가고시마,0,0,0,NNP,지명,F,가고시마,*,*,*,*,*
가고시마겐,0,0,0,NNP,지명,T,가고시마겐,*,*,*,*,*
가고시마만,0,0,0,NNP,지명,T,가고시마만,Preanalysis,NNP,NNP,가고시마+만,가고시마/NNP/지명/1/1+만/NNG/*/1/1
가고시마현,0,0,0,NNP,지명,T,가고시마현,Preanalysis,NNP,NNP,가고시마+현,가고시마/NNP/지명/1/1+현/NNG/*/1/1
가곡역,0,0,0,NNP,*,T,가곡역,Compound,*,*,가곡+역,가곡/NNP/지명/1/1+가곡역/Compound/*/0/2+역/NNG/*/1/1
가곡항,0,0,0,NNP,*,T,가곡항,Compound,*,*,가곡+항,가곡/NNP/지명/1/1+가곡항/Compound/*/0/2+항/NNG/*/1/1
가교항,0,0,0,NNP,*,T,가교항,Compound,*,*,가교+항,가교/NNP/지명/1/1+가교항/Compound/*/0/2+항/NNG/*/1/1
가나,0,0,0,NNP,지명,F,가나,*,*,*,*,*
가나가와,0,0,0,NNP,지명,F,가나가와,*,*,*,*,*
가나가와현,0,0,0,NNP,지명,T,가나가와현,Preanalysis,NNP,NNP,가나가와+현,가나가와/NNP/지명/1/1+현/NNG/*/1/1
가나다,0,0,0,NNP,지명,F,가나다,*,*,*,*,*
가나자와,0,0,0,NNP,지명,F,가나자와,*,*,*,*,*
가나자와항,0,0,0,NNP,지명,T,가나자와항,Preanalysis,NNP,NNP,가나자와+항,가나자와/NNP/인명/1/1+항/NNG/*/1/1
가네시히말산,0,0,0,NNP,지명,T,가네시히말산,*,*,*,*,*
가누마,0,0,0,NNP,지명,F,가누마,*,*,*,*,*
가능역,0,0,0,NNP,*,T,가능역,Compound,*,*,가능+역,가능/NNP/지명/1/1+가능역/Compound/*/0/2+역/NNG/*/1/1
가다메스,0,0,0,NNP,지명,F,가다메스,*,*,*,*,*
가다메스계곡,0,0,0,NNP,지명,T,가다메스계곡,Preanalysis,NNP,NNP,가다메스+계곡,가다메스/NNP/지명/1/1+계곡/NNG/*/1/1
가다미스,0,0,0,NNP,지명,F,가다미스,*,*,*,*,*
가다미스오아시스,0,0,0,NNP,지명,F,가다미스오아시스,Preanalysis,NNP,NNP,가다미스+오아시스,가다미스/NNP/지명/1/1+오아시스/NNG/*/1/1
가덕도,0,0,0,NNP,지명,F,가덕도,Compound,*,*,가덕+도,가덕/NNG/*/1/1+가덕도/Compound/*/0/2+도/NNG/*/1/1
가덕산,0,0,0,NNP,지명,T,가덕산,*,*,*,*,*
가도르,0,0,0,NNP,지명,F,가도르,*,*,*,*,*
가도르산맥,0,0,0,NNP,지명,T,가도르산맥,Preanalysis,NNP,NNP,가도르+산맥,가도르/NNP/지명/1/1+산맥/NNG/*/1/1
가동역,0,0,0,NNP,*,T,가동역,Compound,*,*,가동+역,가동/NNP/지명/1/1+가동역/Compound/*/0/2+역/NNG/*/1/1
가두크,0,0,0,NNP,지명,F,가두크,*,*,*,*,*
가두크고개,0,0,0,NNP,지명,F,가두크고개,Preanalysis,NNP,NNP,가두크+고개,가두크/NNP/지명/1/1+고개/NNG/*/1/1
가드너섬,0,0,0,NNP,지명,T,가드너섬,Preanalysis,NNP,NNP,가드너+섬,가드너/NNP/인명/1/1+섬/NNG/*/1/1
가득봉,0,0,0,NNP,지명,T,가득봉,Compound,*,*,가득+봉,가득/NNG/*/1/1+가득봉/Compound/*/0/2+봉/NNG/*/1/1
가든그로브,0,0,0,NNP,지명,F,가든그로브,Preanalysis,NNP,NNP,가든+그로브,가든/NNP/지명/1/1+그로브/NNP/인명/1/1
가든반도,0,0,0,NNP,지명,F,가든반도,Preanalysis,NNP,NNP,가든+반도,가든/NNP/지명/1/1+반도/NNG/*/1/1
가든시티,0,0,0,NNP,지명,F,가든시티,*,*,*,*,*
가라뉸스,0,0,0,NNP,지명,F,가라뉸스,*,*,*,*,*
가라뉸스산맥,0,0,0,NNP,지명,T,가라뉸스산맥,Preanalysis,NNP,NNP,가라뉸스+산맥,가라뉸스/NNP/지명/1/1+산맥/NNG/*/1/1
가라방,0,0,0,NNP,지명,T,가라방,*,*,*,*,*
가라방만,0,0,0,NNP,지명,T,가라방만,Preanalysis,NNP,NNP,가라방+만,가라방/NNP/지명/1/1+만/NNG/*/1/1
가라산,0,0,0,NNP,지명,T,가라산,*,*,*,*,*
가라쓰,0,0,0,NNP,지명,F,가라쓰,*,*,*,*,*
가라쓰만,0,0,0,NNP,지명,T,가라쓰만,Preanalysis,NNP,NNP,가라쓰+만,가라쓰/NNP/지명/1/1+만/NNG/*/1/1
가라자와,0,0,0,NNP,지명,F,가라자와,*,*,*,*,*
가라자와산,0,0,0,NNP,지명,T,가라자와산,Preanalysis,NNP,NNP,가라자와+산,가라자와/NNP/지명/1/1+산/NNG/*/1/1
가라지봉,0,0,0,NNP,지명,T,가라지봉,Compound,*,*,가라지+봉,가라지/NNG/*/1/1+가라지봉/Compound/*/0/2+봉/NNG/*/1/1
가라카트알바르누지,0,0,0,NNP,지명,F,가라카트알바르누지,*,*,*,*,*
가라카트알바르누지호,0,0,0,NNP,지명,F,가라카트알바르누지호,Preanalysis,NNP,NNP,가라카트알바르누지+호,가라카트알바르누지/NNP/지명/1/1+호/NNG/*/1/1
가라쿠니,0,0,0,NNP,지명,F,가라쿠니,*,*,*,*,*
가라쿠니산,0,0,0,NNP,지명,T,가라쿠니산,Preanalysis,NNP,NNP,가라쿠니+산,가라쿠니/NNP/지명/1/1+산/NNG/*/1/1
가라후토,0,0,0,NNP,지명,F,가라후토,*,*,*,*,*
가란도,0,0,0,NNP,지명,F,가란도,Compound,*,*,가란+도,가란/NNG/*/1/1+가란도/Compound/*/0/2+도/NNG/*/1/1
가래봉,0,0,0,NNP,지명,T,가래봉,*,*,*,*,*
가령산,0,0,0,NNP,지명,T,가령산,*,*,*,*,*
가로구릉,0,0,0,NNP,지명,T,가로구릉,*,*,*,*,*
가로림만,0,0,0,NNP,지명,T,가로림만,Compound,*,*,가로림+만,가로림/NNG/*/1/1+가로림만/Compound/*/0/2+만/NNG/*/1/1
가론강,0,0,0,NNP,지명,T,가론강,Preanalysis,NNP,NNP,가론+강,가론/NNG/*/1/1+강/NNG/*/1/1
가론평야,0,0,0,NNP,지명,F,가론평야,Preanalysis,NNP,NNP,가론+평야,가론/NNG/*/1/1+평야/NNG/*/1/1
가룡항,0,0,0,NNP,*,T,가룡항,Compound,*,*,가룡+항,가룡/NNP/지명/1/1+가룡항/Compound/*/0/2+항/NNG/*/1/1
가루이자와,0,0,0,NNP,지명,F,가루이자와,*,*,*,*,*
가루이자와해변,0,0,0,NNP,지명,T,가루이자와해변,Preanalysis,NNP,NNP,가루이자와+해변,가루이자와/NNP/지명/1/1+해변/NNG/*/1/1
가루트,0,0,0,NNP,지명,F,가루트,*,*,*,*,*
가루프,0,0,0,NNP,지명,F,가루프,*,*,*,*,*
가루프반도,0,0,0,NNP,지명,F,가루프반도,Preanalysis,NNP,NNP,가루프+반도,가루프/NNP/지명/1/1+반도/NNG/*/1/1
가르,0,0,0,NNP,지명,F,가르,*,*,*,*,*
가르가노,0,0,0,NNP,지명,F,가르가노,*,*,*,*,*
가르가노반도,0,0,0,NNP,지명,F,가르가노반도,Preanalysis,NNP,NNP,가르가노+반도,가르가노/NNP/인명/1/1+반도/NNG/*/1/1
가르가스,0,0,0,NNP,지명,F,가르가스,*,*,*,*,*
가르가스동굴,0,0,0,NNP,지명,T,가르가스동굴,Preanalysis,NNP,NNP,가르가스+동굴,가르가스/NNP/지명/1/1+동굴/NNG/*/1/1
가르교,0,0,0,NNP,*,F,가르교,Compound,*,*,가르+교,가르/NNP/지명/1/1+가르교/Compound/*/0/2+교/NNG/*/1/1
가르다,0,0,0,NNP,지명,F,가르다,*,*,*,*,*
가르다이아,0,0,0,NNP,지명,F,가르다이아,*,*,*,*,*
가르다호,0,0,0,NNP,지명,F,가르다호,Preanalysis,NNP,NNP,가르다+호,가르다/NNP/지명/1/1+호/NNG/*/1/1
가르단,0,0,0,NNP,지명,T,가르단,*,*,*,*,*
가르단분지,0,0,0,NNP,지명,F,가르단분지,Preanalysis,NNP,NNP,가르단+분지,가르단/NNP/지명/1/1+분지/NNG/*/1/1
가르데,0,0,0,NNP,지명,F,가르데,*,*,*,*,*
가르데곶,0,0,0,NNP,지명,T,가르데곶,Preanalysis,NNP,NNP,가르데+곶,가르데/NNP/지명/1/1+곶/NNG/*/1/1
가르데나,0,0,0,NNP,지명,F,가르데나,*,*,*,*,*
가르데나고개,0,0,0,NNP,지명,F,가르데나고개,Preanalysis,NNP,NNP,가르데나+고개,가르데나/NNP/지명/1/1+고개/NNG/*/1/1
가르데즈,0,0,0,NNP,지명,F,가르데즈,*,*,*,*,*
가르미슈파르텐키르헨,0,0,0,NNP,지명,T,가르미슈파르텐키르헨,*,*,*,*,*
가르비니,0,0,0,NNP,지명,F,가르비니,*,*,*,*,*
가르비니폭포,0,0,0,NNP,지명,F,가르비니폭포,Preanalysis,NNP,NNP,가르비니+폭포,가르비니/NNP/지명/1/1+폭포/NNG/*/1/1
가르비야,0,0,0,NNP,지명,F,가르비야,*,*,*,*,*
가르비야주,0,0,0,NNP,지명,F,가르비야주,Preanalysis,NNP,NNP,가르비야+주,가르비야/NNP/지명/1/1+주/NNG/*/1/1
가르왈,0,0,0,NNP,지명,T,가르왈,*,*,*,*,*
가르현,0,0,0,NNP,지명,T,가르현,Preanalysis,NNP,NNP,가르+현,가르/NNP/인명/1/1+현/NNG/*/1/1
가릉강,0,0,0,NNP,지명,T,가릉강,Compound,*,*,가릉+강,가릉/NNG/*/1/1+가릉강/Compound/*/0/2+강/NNG/*/1/1
가릉령,0,0,0,NNP,지명,T,가릉령,*,*,*,*,*
가리강,0,0,0,NNP,지명,T,가리강,Preanalysis,NNP,NNP,가리+강,가리/NNG/*/1/1+강/NNG/*/1/1
가리바,0,0,0,NNP,지명,F,가리바,*,*,*,*,*
가리바산,0,0,0,NNP,지명,T,가리바산,Preanalysis,NNP,NNP,가리바+산,가리바/NNP/지명/1/1+산/NNG/*/1/1
가리왕산,0,0,0,NNP,지명,T,가리왕산,Compound,*,*,가리왕+산,가리왕/NNG/*/1/1+가리왕산/Compound/*/0/2+산/NNG/*/1/1
가릴리아노,0,0,0,NNP,지명,F,가릴리아노,*,*,*,*,*
가릴리아노강,0,0,0,NNP,지명,T,가릴리아노강,Preanalysis,NNP,NNP,가릴리아노+강,가릴리아노/NNP/지명/1/1+강/NNG/*/1/1
가림천,0,0,0,NNP,지명,T,가림천,Compound,*,*,가림+천,가림/NNP/지명/1/1+가림천/Compound/*/0/2+천/NNG/*/1/1
가마골,0,0,0,NNP,지명,T,가마골,*,*,*,*,*
가마도지코쿠,0,0,0,NNP,지명,F,가마도지코쿠,*,*,*,*,*
가마도지코쿠온천,0,0,0,NNP,지명,T,가마도지코쿠온천,Preanalysis,NNP,NNP,가마도지코쿠+온천,가마도지코쿠/NNP/지명/1/1+온천/NNG/*/1/1
가마봉,0,0,0,NNP,지명,T,가마봉,*,*,*,*,*
가마산,0,0,0,NNP,지명,T,가마산,*,*,*,*,*
가마산로,0,0,0,NNP,*,F,가마산로,Compound,*,*,가마산+로,가마산/NNP/지명/1/1+가마산로/Compound/*/0/2+로/NNG/*/1/1
가마이시,0,0,0,NNP,지명,F,가마이시,*,*,*,*,*
가마쿠라,0,0,0,NNP,지명,F,가마쿠라,*,*,*,*,*
가막천,0,0,0,NNP,지명,T,가막천,Compound,*,*,가막+천,가막/NNP/지명/1/1+가막천/Compound/*/0/2+천/NNG/*/1/1
가메다,0,0,0,NNP,지명,F,가메다,*,*,*,*,*
가메다반도,0,0,0,NNP,지명,F,가메다반도,Preanalysis,NNP,NNP,가메다+반도,가메다/NNP/인명/1/1+반도/NNG/*/1/1
가모다,0,0,0,NNP,지명,F,가모다,*,*,*,*,*
가모다곶,0,0,0,NNP,지명,T,가모다곶,Preanalysis,NNP,NNP,가모다+곶,가모다/NNP/지명/1/1+곶/NNG/*/1/1
가무이,0,0,0,NNP,지명,F,가무이,*,*,*,*,*
가무이곶,0,0,0,NNP,지명,T,가무이곶,Preanalysis,NNP,NNP,가무이+곶,가무이/NNP/지명/1/1+곶/NNG/*/1/1
가미교,0,0,0,NNP,*,F,가미교,Compound,*,*,가미+교,가미/NNP/지명/1/1+가미교/Compound/*/0/2+교/NNG/*/1/1
가미오카,0,0,0,NNP,지명,F,가미오카,*,*,*,*,*
가미오카광산,0,0,0,NNP,지명,T,가미오카광산,Preanalysis,NNP,NNP,가미오카+광산,가미오카/NNP/지명/1/1+광산/NNG/*/1/1
가미카와,0,0,0,NNP,지명,F,가미카와,*,*,*,*,*
가미카와분지,0,0,0,NNP,지명,F,가미카와분지,Preanalysis,NNP,NNP,가미카와+분지,가미카와/NNP/지명/1/1+분지/NNG/*/1/1
가바르니,0,0,0,NNP,지명,F,가바르니,*,*,*,*,*
가배항,0,0,0,NNP,*,T,가배항,Compound,*,*,가배+항,가배/NNP/지명/1/1+가배항/Compound/*/0/2+항/NNG/*/1/1
가베스,0,0,0,NNP,지명,F,가베스,*,*,*,*,*
가베스만,0,0,0,NNP,지명,T,가베스만,Preanalysis,NNP,NNP,가베스+만,가베스/NNP/지명/1/1+만/NNG/*/1/1
가베스항,0,0,0,NNP,지명,T,가베스항,Preanalysis,NNP,NNP,가베스+항,가베스/NNP/지명/1/1+항/NNG/*/1/1
가보로네,0,0,0,NNP,지명,F,가보로네,*,*,*,*,*
가부고원,0,0,0,NNP,지명,T,가부고원,Preanalysis,NNP,NNP,가부+고원,가부/NNG/*/1/1+고원/NNG/*/1/1
가부르,0,0,0,NNP,지명,F,가부르,*,*,*,*,*
가부르산맥,0,0,0,NNP,지명,T,가부르산맥,Preanalysis,NNP,NNP,가부르+산맥,가부르/NNP/지명/1/1+산맥/NNG/*/1/1
가브로보,0,0,0,NNP,지명,F,가브로보,*,*,*,*,*
가브르보,0,0,0,NNP,지명,F,가브르보,*,*,*,*,*
가브리니스섬,0,0,0,NNP,지명,T,가브리니스섬,*,*,*,*,*
